Sample,,,,,,,Tripalmitin Results,,,Triheptadecanoic Results,,,Tristerin Results,,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy
,,blank,001-0101.D,Blank,1,7/11/2018 11:13 PM,,,,12.080,0.1877,,13.136,0.2218,
,,blank,001-0202.D,Blank,1,7/11/2018 11:33 PM,11.587,0.1876,,12.014,0.1877,,13.077,0.2159,
,,blank,001-0303.D,Blank,1,7/11/2018 11:54 PM,11.588,0.1876,,12.092,0.1877,,13.150,0.2173,
,,blank,001-0404.D,Blank,1,7/12/2018 12:14 AM,11.754,0.1877,,12.063,0.1877,,13.134,0.2170,
,,blank,001-0505.D,Blank,1,7/12/2018 12:34 AM,11.638,0.1875,,12.060,0.1877,,13.007,0.2153,
,,blank,001-0606.D,Blank,1,7/12/2018 12:54 AM,11.816,0.1880,,12.050,0.1877,,13.117,0.2158,
,,blank,001-0707.D,Blank,1,7/12/2018 1:15 AM,11.548,0.1877,,12.128,0.1877,,13.139,0.2150,
,,blank,001-0808.D,Blank,1,7/12/2018 1:35 AM,11.566,0.1875,,12.153,0.1877,,13.113,0.2166,
,,blank,001-1409.D,Blank,1,7/12/2018 3:37 AM,11.583,0.1875,,12.094,0.1877,,13.132,0.2150,
,,blank,001-2501.D,Blank,1,7/12/2018 7:21 AM,,,,12.343,0.1881,,13.137,0.2154,
,!,qc2,2AF-2601.D,QC,2,7/12/2018 7:41 AM,11.591,0.2433,91.8,12.108,0.2459,91.1,11.591,0.2817,92.4
,,blank,001-2702.D,Blank,1,7/12/2018 8:02 AM,11.476,0.1876,,12.108,0.1877,,13.028,0.2158,
!,!,0207-B01,2DB-2801.D,Sample,1,7/12/2018 8:22 AM,,,,12.095,0.1877,,13.122,0.2147,
,!,0822-08,2DC-2901.D,Sample,1,7/12/2018 8:42 AM,11.614,0.3430,,11.958,0.1886,,11.250,0.5084,
