Sample,,,,,,,Tripalmitin Results,,,Triheptadecanoic Results,,,Tristerin Results,,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy
,,blank,001-0101.D,Blank,,6/23/2018 8:42 PM,11.538,0.1877,,12.445,0.1759,,12.983,0.2083,
,,blank,001-0202.D,Blank,,6/23/2018 9:02 PM,11.727,0.1884,,12.609,0.1760,,13.045,0.2060,
,,blank,001-0303.D,Blank,,6/23/2018 9:23 PM,11.568,0.1876,,12.508,0.1758,,13.043,0.2067,
,,blank,001-0404.D,Blank,,6/23/2018 9:43 PM,11.558,0.1877,,12.735,0.1766,,13.027,0.2078,
,,blank,001-0505.D,Blank,,6/23/2018 10:03 PM,11.540,0.1876,,12.543,0.1758,,13.044,0.2073,
,,blank,001-0606.D,Blank,,6/23/2018 10:23 PM,11.468,0.1877,,12.436,0.1759,,13.037,0.2078,
,,blank,001-0707.D,Blank,,6/23/2018 10:44 PM,11.764,0.1879,,12.517,0.1758,,13.007,0.2075,
,,blank,001-0808.D,Blank,,6/23/2018 11:04 PM,11.543,0.1877,,12.509,0.1758,,12.949,0.2081,
,,blank,001-0909.D,Blank,,6/23/2018 11:24 PM,11.758,0.1877,,12.553,0.1758,,13.021,0.2079,
,!,tag_mix,2AA-1001.D,Cal,1,6/23/2018 11:45 PM,11.562,0.1879,177.2,12.520,0.1761,163.0,13.038,0.2064,169.2
,,tag_mix,2AB-1101.D,Cal,2,6/24/2018 12:05 AM,11.545,0.2544,96.0,12.520,0.2560,94.8,12.520,0.2912,95.5
,,tag_mix,2AC-1201.D,Cal,3,6/24/2018 12:25 AM,11.546,0.4406,83.1,12.521,0.4668,86.4,12.521,0.5166,84.7
,,tag_mix,2AD-1301.D,Cal,4,6/24/2018 12:46 AM,11.545,0.6740,84.8,12.522,0.7210,89.0,12.522,0.7948,86.9
,!,tag_mix,2AE-1401.D,Cal,5,6/24/2018 1:06 AM,11.548,1.0490,99.0,12.524,1.0779,99.8,11.548,1.2105,99.2
,,blank,001-1510.D,Blank,,6/24/2018 1:26 AM,11.551,0.1876,,12.693,0.1761,,13.019,0.2082,
,!,0425-13,2CA-1601.D,Sample,,6/24/2018 1:47 AM,11.563,0.2411,,12.631,0.1758,,11.202,0.5376,
,!,0425-14,2CB-1701.D,Sample,,6/24/2018 2:07 AM,11.568,0.1913,,12.545,0.1758,,10.814,0.3090,
,!,0425-15,2CC-1801.D,Sample,,6/24/2018 2:27 AM,11.565,0.2052,,12.519,0.1758,,10.811,0.4349,
,!,0425-16,2CD-1901.D,Sample,,6/24/2018 2:48 AM,11.566,0.2106,,12.514,0.1758,,10.812,0.6801,
,!,0425-17,2CE-2001.D,Sample,,6/24/2018 3:08 AM,11.568,0.2019,,12.498,0.1759,,10.813,0.4412,
,!,0425-18,2CF-2101.D,Sample,,6/24/2018 3:29 AM,11.568,0.2061,,12.511,0.1759,,11.205,0.3313,
,!,0425-19,2CG-2201.D,Sample,,6/24/2018 3:49 AM,11.566,0.2074,,12.507,0.1760,,10.810,0.5115,
,!,0425-20,2CH-2301.D,Sample,,6/24/2018 4:09 AM,11.570,0.2017,,12.473,0.1758,,10.813,0.4989,
,!,0505-05,2CI-2401.D,Sample,,6/24/2018 4:30 AM,11.569,0.1951,,12.770,0.1758,,10.813,0.4808,
!,!,0505-06,2DA-2501.D,Sample,,6/24/2018 4:50 AM,11.567,0.2318,,,,,10.812,0.6291,
,,blank,001-2601.D,Blank,,6/24/2018 5:10 AM,11.667,0.1879,,12.578,0.1760,,13.007,0.2077,
,,qc4,2AF-2701.D,QC,4,6/24/2018 5:31 AM,11.550,0.7153,90.0,12.525,0.7603,93.9,12.525,0.8414,92.0
,,blank,001-2802.D,Blank,,6/24/2018 5:51 AM,11.434,0.1877,,12.507,0.1758,,12.933,0.2067,
