Sample,,,,,,,Tripalmitin Results,,,Triheptadecanoic Results,,,Tristerin Results,,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy
,,blank,001-0101.D,Blank,,6/22/2018 2:52 PM,11.800,0.1640,,12.418,0.1577,,13.015,0.1814,
,,blank,001-0202.D,Blank,,6/22/2018 3:12 PM,11.892,0.1639,,12.353,0.1578,,13.032,0.1806,
,,blank,001-0303.D,Blank,,6/22/2018 3:32 PM,11.788,0.1640,,12.341,0.1577,,13.065,0.1809,
,,blank,001-0404.D,Blank,,6/22/2018 3:53 PM,11.857,0.1640,,12.428,0.1577,,13.080,0.1810,
,,blank,001-0505.D,Blank,,6/22/2018 4:13 PM,11.813,0.1639,,12.361,0.1577,,13.000,0.1815,
,,blank,001-0606.D,Blank,,6/22/2018 4:33 PM,11.768,0.1640,,12.338,0.1577,,12.997,0.1815,
,,blank,001-0707.D,Blank,,6/22/2018 4:54 PM,11.874,0.1642,,12.284,0.1577,,13.079,0.1806,
,,blank,001-0808.D,Blank,,6/22/2018 5:14 PM,11.808,0.1640,,12.216,0.1577,,13.078,0.1817,
,,blank,001-0909.D,Blank,,6/22/2018 5:34 PM,11.825,0.1640,,12.353,0.1577,,13.078,0.1810,
,!,tag_mix,2AA-1001.D,Cal,1,6/22/2018 5:54 PM,11.835,0.1642,154.9,12.366,0.1580,146.3,12.815,0.1815,148.8
,,tag_mix,2AB-1101.D,Cal,2,6/22/2018 6:15 PM,11.814,0.2481,93.6,12.345,0.2537,93.9,12.818,0.2848,93.4
,,tag_mix,2AC-1201.D,Cal,3,6/22/2018 6:35 PM,11.815,0.4458,84.1,12.346,0.4587,85.0,12.820,0.5181,84.9
,,tag_mix,2AD-1301.D,Cal,4,6/22/2018 6:55 PM,11.815,0.7107,89.4,12.346,0.7349,90.7,12.821,0.8320,90.9
,!,tag_mix,2AE-1401.D,Cal,5,6/22/2018 7:16 PM,11.816,1.0754,101.5,12.348,1.0680,98.9,11.816,1.2178,99.8
,,blank,001-1510.D,Blank,,6/22/2018 7:36 PM,11.785,0.1640,,12.285,0.1579,,13.080,0.1814,
,!,0506-01,2CA-1601.D,Sample,,6/22/2018 7:56 PM,11.837,0.1819,,12.465,0.1579,,11.463,0.2102,
,!,0506-02,2CB-1701.D,Sample,,6/22/2018 8:17 PM,11.838,0.1719,,12.341,0.1577,,11.462,0.1962,
,!,0506-03,2CC-1801.D,Sample,,6/22/2018 8:37 PM,11.850,0.1655,,12.489,0.1583,,11.849,0.1822,
,!,0506-04,2CD-1901.D,Sample,,6/22/2018 8:58 PM,11.838,0.1772,,12.360,0.1578,,11.463,0.2017,
,!,0506-05,2CE-2001.D,Sample,,6/22/2018 9:18 PM,11.834,0.1809,,12.366,0.1578,,11.460,0.2024,
,!,0506-06,2CF-2101.D,Sample,,6/22/2018 9:38 PM,11.838,0.1802,,12.355,0.1578,,11.463,0.2014,
,!,0506-07,2CG-2201.D,Sample,,6/22/2018 9:59 PM,11.840,0.1857,,12.349,0.1577,,11.465,0.2083,
,,0519-01,2CH-2301.D,Sample,,6/22/2018 10:19 PM,11.839,0.1648,,12.377,0.1577,,13.030,0.1815,
,!,0519-02,2CI-2401.D,Sample,,6/22/2018 10:39 PM,11.835,0.1661,,12.378,0.1578,,11.459,0.1841,
,!,0518-03,2DA-2501.D,Sample,,6/22/2018 11:00 PM,11.847,0.1644,,12.340,0.1577,,11.462,0.1825,
,,blank,001-2601.D,Blank,,6/22/2018 11:20 PM,11.809,0.1640,,12.291,0.1577,,13.073,0.1814,
,,qc3,2AF-2701.D,QC,3,6/22/2018 11:40 PM,11.817,0.4544,85.7,12.348,0.4697,87.0,12.821,0.5301,86.9
,,blank,001-2802.D,Blank,,6/23/2018 12:01 AM,11.993,0.1647,,12.324,0.1578,,13.062,0.1810,
,!,0520-02,2DB-2901.D,Sample,,6/23/2018 12:21 AM,11.838,0.1666,,12.404,0.1579,,11.462,0.1856,
,!,0520-03,2DC-3001.D,Sample,,6/23/2018 12:41 AM,11.837,0.1654,,12.470,0.1581,,11.463,0.1821,
,!,0520-04,2DD-3101.D,Sample,,6/23/2018 1:02 AM,11.836,0.1650,,12.360,0.1578,,11.465,0.1824,
,!,0520-05,2DE-3201.D,Sample,,6/23/2018 1:22 AM,11.840,0.1653,,12.351,0.1577,,11.465,0.1846,
,!,0419-07,2DF-3301.D,Sample,,6/23/2018 1:42 AM,11.840,0.1936,,12.339,0.1577,,11.464,0.2831,
,!,0419-08,2DG-3401.D,Sample,,6/23/2018 2:03 AM,11.841,0.2009,,12.359,0.1577,,11.467,0.3327,
,!,0424-09,2DH-3501.D,Sample,,6/23/2018 2:23 AM,11.843,0.1907,,12.381,0.1578,,11.064,0.4095,
,!,0512-04,2DI-3601.D,Sample,,6/23/2018 2:44 AM,11.843,0.2357,,12.350,0.1578,,11.065,0.6994,
,!,0507-02,2EA-3701.D,Sample,,6/23/2018 3:04 AM,11.842,0.2948,,12.202,0.1585,,11.468,0.4433,
,!,0512-01,2EB-3801.D,Sample,,6/23/2018 3:24 AM,11.840,0.2248,,12.380,0.1577,,11.063,0.7175,
,,blank,001-3901.D,Blank,,6/23/2018 3:45 AM,11.807,0.1640,,12.436,0.1577,,13.077,0.1815,
,!,qc3,2AG-4001.D,QC,3,6/23/2018 4:05 AM,11.820,0.4163,78.5,12.351,0.4308,79.8,12.825,0.4833,79.2
,,blank,001-4102.D,Blank,,6/23/2018 4:25 AM,12.049,0.1650,,12.325,0.1577,,13.079,0.1813,
,!,0512-02,2EC-4201.D,Sample,,6/23/2018 4:46 AM,11.843,0.2205,,12.335,0.1577,,11.066,0.6472,
,!,0508-14,2ED-4301.D,Sample,,6/23/2018 5:06 AM,11.846,0.2175,,12.192,0.1581,,11.471,0.3240,
,!,0424-19,2EE-4401.D,Sample,,6/23/2018 5:26 AM,11.842,0.2194,,12.189,0.1579,,11.063,0.5253,
,!,0508-15,2EF-4501.D,Sample,,6/23/2018 5:47 AM,11.844,0.3593,,12.201,0.1587,,11.469,0.6699,
,!,0424-18,2EG-4601.D,Sample,,6/23/2018 6:07 AM,11.840,0.2517,,12.189,0.1580,,11.470,0.6264,
,!,0424-17,2EH-4701.D,Sample,,6/23/2018 6:27 AM,11.844,0.2656,,12.208,0.1582,,11.472,0.5391,
,!,0512-03,2EI-4801.D,Sample,,6/23/2018 6:48 AM,11.842,0.2735,,12.373,0.1578,,11.470,0.7072,
,!,0507-01,2FA-4901.D,Sample,,6/23/2018 7:08 AM,11.845,0.1821,,12.378,0.1577,,11.471,0.2164,
,!,0520-01,2FB-5001.D,Sample,,6/23/2018 7:28 AM,11.844,0.1668,,12.357,0.1577,,11.466,0.1848,
,!,0506-08,2FC-5101.D,Sample,,6/23/2018 7:49 AM,11.842,0.1732,,12.296,0.1577,,11.466,0.1975,
,,blank,001-5201.D,Blank,,6/23/2018 8:09 AM,11.880,0.1640,,12.338,0.1577,,13.034,0.1814,
,,qc3,2AH-5301.D,QC,3,6/23/2018 8:29 AM,11.822,0.4582,86.4,12.353,0.4786,88.6,12.828,0.5361,87.9
,,blank,001-5402.D,Blank,,6/23/2018 8:50 AM,11.796,0.1640,,12.490,0.1580,,13.079,0.1807,
,!,0420-04,2FD-5501.D,Sample,,6/23/2018 9:10 AM,11.843,0.2219,,12.195,0.1580,,11.469,0.3708,
,!,0420-03,2FE-5601.D,Sample,,6/23/2018 9:30 AM,11.844,0.1994,,12.475,0.1577,,11.469,0.2808,
,!,0425-09,2FF-5701.D,Sample,,6/23/2018 9:51 AM,11.849,0.1755,,12.347,0.1577,,11.069,0.4348,
,!,0424-10,2FG-5801.D,Sample,,6/23/2018 10:11 AM,11.851,0.1850,,12.466,0.1577,,11.072,0.4653,
,!,0425-11,2FH-5901.D,Sample,,6/23/2018 10:32 AM,11.846,0.2113,,12.354,0.1577,,11.071,0.6560,
,!,0425-12,2FI-6001.D,Sample,,6/23/2018 10:57 AM,11.849,0.1869,,12.341,0.1577,,11.074,0.4696,
,!,0508-04,1AA-6101.D,Sample,,6/23/2018 11:17 AM,11.849,0.1871,,12.372,0.1578,,11.068,0.4217,
,!,0508-05,1AB-6201.D,Sample,,6/23/2018 11:38 AM,11.852,0.1742,,12.380,0.1577,,11.069,0.2681,
,!,0508-06,1AC-6301.D,Sample,,6/23/2018 11:58 AM,11.848,0.2107,,12.370,0.1577,,11.067,0.5727,
,!,0508-07,1AD-6401.D,Sample,,6/23/2018 12:18 PM,11.850,0.1982,,12.353,0.1577,,11.069,0.4377,
,,blank,001-6501.D,Blank,,6/23/2018 12:39 PM,11.868,0.1642,,12.312,0.1578,,13.058,0.1809,
,,qc3,2AI-6601.D,QC,3,6/23/2018 12:59 PM,11.822,0.4510,85.1,12.353,0.4706,87.2,12.828,0.5280,86.6
,,blank,001-6702.D,Blank,,6/23/2018 1:19 PM,11.812,0.1639,,12.366,0.1578,,13.080,0.1816,
,!,0508-08,1AE-6801.D,Sample,,6/23/2018 1:40 PM,11.847,0.1922,,12.350,0.1577,,11.067,0.4185,
,!,0508-09,1AF-6901.D,Sample,,6/23/2018 2:00 PM,11.854,0.1843,,12.355,0.1578,,11.070,0.3490,
,!,0508-10,1AG-7001.D,Sample,,6/23/2018 2:20 PM,11.851,0.1917,,12.280,0.1577,,11.069,0.4174,
,!,0508-11,1AH-7101.D,Sample,,6/23/2018 2:41 PM,11.848,0.1861,,12.343,0.1577,,11.069,0.3593,
,!,0417-12,1AI-7201.D,Sample,,6/23/2018 3:01 PM,11.849,0.1825,,12.274,0.1577,,11.070,0.5049,
,!,0417-13,1BA-7301.D,Sample,,6/23/2018 3:21 PM,11.849,0.1904,,12.354,0.1577,,11.068,0.4549,
,!,0417-14,1BB-7401.D,Sample,,6/23/2018 3:42 PM,11.850,0.2000,,12.344,0.1577,,11.070,0.4978,
,!,0417-15,1BC-7501.D,Sample,,6/23/2018 4:02 PM,11.847,0.1844,,12.374,0.1577,,11.068,0.4011,
,,blank,001-7601.D,Blank,,6/23/2018 4:22 PM,11.795,0.1640,,,,,13.054,0.1809,
,!,tag_mix,2BA-7701.D,Cal,1,6/23/2018 4:43 PM,11.827,0.1647,155.4,12.356,0.1580,146.3,12.830,0.1821,149.3
,,tag_mix,2BB-7801.D,Cal,2,6/23/2018 5:03 PM,11.823,0.2490,93.9,12.353,0.2542,94.2,12.827,0.2860,93.8
,,tag_mix,2BC-7901.D,Cal,3,6/23/2018 5:23 PM,11.823,0.4531,85.5,12.355,0.4742,87.8,12.829,0.5289,86.7
,,tag_mix,2BD-8001.D,Cal,4,6/23/2018 5:44 PM,11.823,0.8796,110.6,12.354,0.9155,113.0,12.830,1.0308,112.7
,,tag_mix,2BE-8101.D,Cal,5,6/23/2018 6:04 PM,11.824,1.1215,105.8,12.355,1.1407,105.6,12.831,1.2819,105.1
,,blank,001-8202.D,Blank,,6/23/2018 6:24 PM,11.873,0.1640,,12.383,0.1577,,13.080,0.1807,
,,blank,001-8303.D,Blank,,6/23/2018 6:45 PM,11.770,0.1639,,12.335,0.1577,,13.079,0.1810,
,,blank,001-8404.D,Blank,,6/23/2018 7:05 PM,11.821,0.1640,,12.285,0.1577,,13.028,0.1816,
,,blank,001-8501.D,Blank,,6/23/2018 7:25 PM,,,,,,,,,
