Sample,,,,,,,Tripalmitin Results,,,Triheptadecanoic Results,,,Tristerin Results,,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy
,,blank,001-0101.D,Blank,1,8/16/2018 5:20 PM,,,,12.168,0.0338,,12.866,0.0586,
,,blank,001-0202.D,Blank,1,8/16/2018 5:40 PM,11.748,0.0465,,12.155,0.0338,,12.832,0.0463,
,,blank,001-0303.D,Blank,1,8/16/2018 6:00 PM,11.750,0.0461,,12.182,0.0335,,12.895,0.0428,
,,blank,001-0404.D,Blank,1,8/16/2018 6:20 PM,11.570,0.0462,,12.317,0.0339,,12.881,0.0432,
,,blank,001-0505.D,Blank,1,8/16/2018 6:41 PM,11.627,0.0461,,12.162,0.0335,,12.895,0.0612,
,,blank,001-0606.D,Blank,1,8/16/2018 7:01 PM,11.686,0.0465,,12.206,0.0334,,12.895,0.0525,
,,blank,001-0707.D,Blank,1,8/16/2018 7:21 PM,11.675,0.0463,,12.231,0.0333,,12.838,0.0450,
,,blank,001-0808.D,Blank,1,8/16/2018 7:41 PM,11.791,0.0470,,12.155,0.0350,,12.870,0.0526,
,!,tag_mix,2AA-0901.D,Cal,1,8/16/2018 8:02 PM,11.663,0.0501,167.1,12.184,0.0359,159.6,12.645,0.0457,152.4
,!,tag_mix,2AB-1001.D,Cal,2,8/16/2018 8:22 PM,11.661,0.0593,98.8,12.182,0.0430,95.5,11.660,0.0552,92.1
,!,tag_mix,2AC-1101.D,Cal,3,8/16/2018 8:42 PM,11.661,0.0924,77.0,12.182,0.0700,77.8,11.660,0.0923,76.9
,!,tag_mix,2AD-1201.D,Cal,4,8/16/2018 9:03 PM,11.660,0.1538,85.5,12.181,0.1165,86.3,11.660,0.1539,85.5
,!,tag_mix,2AE-1301.D,Cal,5,8/16/2018 9:23 PM,11.660,0.2444,101.8,12.180,0.1841,102.3,11.660,0.2394,99.8
,,blank,001-1409.D,Blank,1,8/16/2018 9:43 PM,11.753,0.0462,,12.218,0.0336,,12.886,0.0433,
,!,1012-11,2CA-1501.D,Sample,1,8/16/2018 10:04 PM,11.681,0.1313,,12.218,0.0334,,11.313,0.6462,
,!,0926-02,2CB-1601.D,Sample,1,8/16/2018 10:24 PM,11.683,0.6233,,12.325,0.0340,,11.317,1.7615,
,!,1009-03,2CC-1701.D,Sample,1,8/16/2018 10:45 PM,11.682,0.0814,,12.128,0.0333,,11.317,0.1477,
,,0208-B2,2CD-1801.D,Sample,1,8/16/2018 11:05 PM,11.755,0.0465,,11.994,0.0333,,12.853,0.0481,
,!,0928-09,2CE-1901.D,Sample,1,8/16/2018 11:25 PM,11.686,0.4691,,12.241,0.0338,,11.319,2.3117,
,!,1009-02,2CF-2001.D,Sample,1,8/16/2018 11:46 PM,11.681,0.1246,,12.185,0.0340,,11.314,0.2645,
,,0208-B1,2CG-2101.D,Sample,1,8/17/2018 12:06 AM,11.647,0.0462,,12.210,0.0337,,12.895,0.0445,
,!,1012-12,2CH-2201.D,Sample,1,8/17/2018 12:26 AM,11.681,0.1486,,12.154,0.0333,,11.313,0.6208,
,!,1009-01,2CI-2301.D,Sample,1,8/17/2018 12:47 AM,11.684,0.1002,,12.138,0.0334,,11.316,0.2581,
,!,0926-01,2DA-2401.D,Sample,1,8/17/2018 1:07 AM,11.685,0.5330,,12.030,0.0383,,11.317,1.4668,
,,blank,001-2501.D,Blank,1,8/17/2018 1:27 AM,11.682,0.0467,,12.161,0.0335,,12.878,0.0398,
,!,qc,2AG-2601.D,QC,3,8/17/2018 1:48 AM,11.662,0.0921,76.8,12.180,0.0701,77.9,11.662,0.0882,73.5
,,blank,001-2702.D,Blank,1,8/17/2018 2:08 AM,11.673,0.0462,,12.202,0.0341,,12.839,0.0455,
,!,0928-07,2DB-2801.D,Sample,1,8/17/2018 2:28 AM,11.687,0.9087,,12.037,0.0427,,11.319,2.4410,
,!,0823-29,2DC-2901.D,Sample,1,8/17/2018 2:49 AM,11.689,0.5399,,12.172,0.0338,,11.322,1.9844,
,!,0905-17,2DD-3001.D,Sample,1,8/17/2018 3:09 AM,11.685,0.2498,,12.114,0.0334,,11.317,1.1879,
!,!,0903-19,2DE-3101.D,Sample,1,8/17/2018 3:29 AM,11.495,0.0463,,,,,12.849,0.0472,
,!,0905-22,2DF-3201.D,Sample,1,8/17/2018 3:50 AM,11.684,0.4575,,12.241,0.0344,,11.317,2.0714,
,,0824-14,2DG-3301.D,Sample,1,8/17/2018 4:10 AM,11.695,0.0463,,12.178,0.0333,,12.895,0.0473,
,!,0905-23,2DH-3401.D,Sample,1,8/17/2018 4:31 AM,11.685,0.2295,,12.186,0.0339,,11.317,1.1018,
,!,0823-02,2DI-3501.D,Sample,1,8/17/2018 4:51 AM,11.688,0.3525,,12.024,0.0357,,11.320,0.8623,
,!,0823-04,2EA-3601.D,Sample,1,8/17/2018 5:11 AM,11.685,0.3305,,12.253,0.0346,,11.318,0.9533,
,!,0903-23,2EB-3701.D,Sample,1,8/17/2018 5:32 AM,11.683,0.4133,,12.195,0.0336,,11.316,1.6762,
,,blank,001-3801.D,Blank,1,8/17/2018 5:52 AM,11.671,0.0462,,12.183,0.0334,,12.825,0.0453,
,!,qc,2AH-3901.D,QC,3,8/17/2018 6:12 AM,11.664,0.0938,78.1,12.183,0.0705,78.3,11.663,0.0929,77.4
,,blank,001-4002.D,Blank,1,8/17/2018 6:33 AM,11.823,0.0466,,12.205,0.0333,,12.843,0.0461,
,!,0826-02,2EC-4101.D,Sample,1,8/17/2018 6:53 AM,11.686,0.3484,,12.218,0.0336,,11.318,0.8375,
,!,0826-03,2ED-4201.D,Sample,1,8/17/2018 7:13 AM,11.683,0.5900,,12.036,0.0398,,11.315,1.1863,
,!,0824-12,2EE-4301.D,Sample,1,8/17/2018 7:34 AM,11.683,0.4952,,12.040,0.0353,,11.316,3.3420,
,!,0824-15,2EF-4401.D,Sample,1,8/17/2018 7:54 AM,11.682,0.4461,,12.175,0.0334,,11.314,2.0653,
,!,0903-24,2EG-4501.D,Sample,1,8/17/2018 8:14 AM,11.682,0.2019,,12.138,0.0335,,11.313,0.8502,
,!,0823-05,2EH-4601.D,Sample,1,8/17/2018 8:35 AM,11.679,0.2430,,12.039,0.0359,,11.313,0.6951,
,!,0903-21,2EI-4701.D,Sample,1,8/17/2018 8:55 AM,11.679,0.1575,,12.199,0.0337,,11.311,0.8532,
,!,0905-18,2FA-4801.D,Sample,1,8/17/2018 9:15 AM,11.680,0.2045,,12.183,0.0337,,11.312,1.2504,
,!,0905-24,2FB-4901.D,Sample,1,8/17/2018 9:36 AM,11.678,0.1523,,12.237,0.0358,,11.312,0.6832,
,!,0903-17,2FC-5001.D,Sample,1,8/17/2018 9:56 AM,11.680,0.4636,,12.166,0.0338,,11.312,1.6260,
,,blank,001-5101.D,Blank,1,8/17/2018 10:16 AM,11.665,0.0462,,12.188,0.0337,,12.877,0.0426,
,!,qc,2AI-5201.D,QC,3,8/17/2018 10:37 AM,11.657,0.0970,80.8,12.179,0.0710,78.8,11.657,0.0924,77.0
,,blank,001-5302.D,Blank,1,8/17/2018 10:57 AM,11.649,0.0463,,12.132,0.0336,,12.895,0.0426,
,!,0823-28,2FD-5401.D,Sample,1,8/17/2018 11:17 AM,11.682,0.5000,,12.333,0.0337,,11.314,2.1357,
,!,0823-10,2FE-5501.D,Sample,1,8/17/2018 11:38 AM,11.675,0.6630,,12.219,0.0336,,11.308,1.4167,
,!,0903-22,2FF-5601.D,Sample,1,8/17/2018 11:58 AM,11.676,0.2298,,12.242,0.0334,,11.308,0.5754,
,!,0905-19,2FG-5701.D,Sample,1,8/17/2018 12:18 PM,11.680,0.3899,,12.199,0.0334,,11.313,3.1019,
,!,0903-18,2FH-5801.D,Sample,1,8/17/2018 12:39 PM,11.679,0.2306,,12.135,0.0335,,11.310,0.7578,
,!,0905-21,2FI-5901.D,Sample,1,8/17/2018 12:59 PM,11.676,0.2940,,12.160,0.0334,,11.309,1.8103,
,!,0824-13,1AA-6001.D,Sample,1,8/17/2018 1:20 PM,11.678,0.7551,,12.161,0.0336,,11.312,3.5375,
,!,0823-3,1AB-6101.D,Sample,1,8/17/2018 1:40 PM,11.674,0.1866,,12.205,0.0339,,11.310,0.4090,
,!,0903-20,1AC-6201.D,Sample,1,8/17/2018 2:00 PM,11.673,0.1810,,12.181,0.0335,,11.307,0.5353,
,,blank,001-6301.D,Blank,1,8/17/2018 2:21 PM,11.643,0.0461,,12.190,0.0340,,12.890,0.0416,
,!,tag_mix,2BA-6401.D,Cal,1,8/17/2018 2:41 PM,11.661,0.0507,169.1,12.183,0.0389,173.0,12.649,0.0463,154.3
,!,tag_mix,2BB-6501.D,Cal,2,8/17/2018 3:01 PM,11.659,0.0597,99.5,12.183,0.0458,101.8,11.658,0.0567,94.4
,!,tag_mix,2BC-6601.D,Cal,3,8/17/2018 3:22 PM,11.660,0.0939,78.3,12.180,0.0708,78.6,11.660,0.0913,76.1
