Sample,,,,,,,Tripalmitin Results,,,Triheptadecanoic Results,,,Tristerin Results,,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy
,,blank,001-0101.D,Blank,1,4/3/2018 4:54 PM,11.626,0.1051,,12.042,0.1046,,12.690,0.1068,
,,blank,001-0202.D,Blank,1,4/3/2018 5:15 PM,11.407,0.1046,,11.912,0.1046,,12.720,0.1054,
,,blank,001-0303.D,Blank,1,4/3/2018 5:35 PM,11.395,0.1046,,12.008,0.1047,,12.719,0.1051,
,,blank,001-0404.D,Blank,1,4/3/2018 5:55 PM,11.430,0.1046,,11.883,0.1046,,12.669,0.1049,
,!,tag_mix,2AA-0501.D,Cal,2,4/3/2018 6:16 PM,11.446,0.1240,120.4,11.962,0.1253,120.4,11.446,0.1229,122.9
,!,tag_mix,2AB-0601.D,Cal,3,4/3/2018 6:36 PM,11.445,0.1383,89.5,11.958,0.1406,90.2,11.445,0.1364,90.9
,!,tag_mix,2AC-0701.D,Cal,4,4/3/2018 6:56 PM,11.445,0.1921,74.6,11.960,0.1965,75.6,11.445,0.1867,74.7
,!,tag_mix,2AD-0801.D,Cal,5,4/3/2018 7:17 PM,11.447,0.4690,91.1,11.960,0.4599,88.4,11.447,0.4372,87.4
,!,tag_mix,2AE-0901.D,Cal,6,4/3/2018 7:37 PM,11.446,0.6862,88.8,11.959,0.6681,85.7,11.446,0.6771,90.3
,,blank,001-1105.D,Blank,1,4/3/2018 8:18 PM,11.535,0.1046,,11.985,0.1046,,12.722,0.1372,
,!,1002-06,2CA-1201.D,Sample,1,4/3/2018 8:38 PM,11.475,0.3161,,11.812,0.1055,,11.116,0.7630,
,!,0301-04,2CB-1301.D,Sample,1,4/3/2018 8:58 PM,11.472,0.2115,,11.811,0.1051,,11.112,0.4302,
,!,1015-16,2CC-1401.D,Sample,1,4/3/2018 9:19 PM,11.470,0.1590,,11.811,0.1050,,11.109,0.2401,
,,0320-B02,2CD-1501.D,MatrixBlank,1,4/3/2018 9:39 PM,11.408,0.1046,,11.970,0.1046,,12.722,0.1050,
,!,1020-01,2CE-1601.D,Sample,1,4/3/2018 9:59 PM,11.470,0.4236,,11.812,0.1064,,11.109,0.6731,
,!,1015-17,2CF-1701.D,Sample,1,4/3/2018 10:20 PM,11.469,0.1222,,11.946,0.1046,,11.109,0.1524,
,!,1015-13,2CG-1801.D,Sample,1,4/3/2018 10:40 PM,11.470,0.1539,,11.814,0.1053,,11.107,0.1925,
,!,0927-01,2CH-1901.D,Sample,1,4/3/2018 11:00 PM,11.472,0.5602,,11.812,0.1097,,11.597,0.7759,
,!,1015-12,2CI-2001.D,Sample,1,4/3/2018 11:21 PM,11.473,0.2509,,11.811,0.1054,,11.113,0.4578,
,!,0304-04,2DA-2101.D,Sample,1,4/3/2018 11:41 PM,11.466,0.1470,,11.808,0.1050,,11.107,0.2069,
,,blank,001-2201.D,Blank,1,4/4/2018 12:01 AM,11.465,0.1046,,12.140,0.1049,,12.722,0.1050,
,!,qc,OnlineEdited--023.D,QC,2,4/4/2018 12:22 AM,11.448,0.2958,287.2,11.960,0.2925,281.2,11.448,0.2787,278.7
,,blank,001-2402.D,Blank,1,4/4/2018 12:42 AM,11.463,0.1046,,11.855,0.1046,,12.722,0.1051,
,!,0227-03,2DB-2501.D,Sample,1,4/4/2018 1:02 AM,11.472,0.1404,,11.818,0.1050,,11.110,0.1767,
,!,1015-05,2DC-2601.D,Sample,1,4/4/2018 1:23 AM,11.473,0.1641,,11.815,0.1049,,11.112,0.2994,
,,1015-11,2DD-2701.D,Sample,1,4/4/2018 1:43 AM,11.448,0.1046,,11.980,0.1046,,12.677,0.1051,
,!,0927-06,2DE-2801.D,Sample,1,4/4/2018 2:03 AM,11.473,0.4487,,11.815,0.1068,,11.114,0.6443,
,!,0309-03,2DF-2901.D,Sample,1,4/4/2018 2:24 AM,11.474,0.6917,,11.814,0.1085,,10.704,1.3093,
,!,0220-04,2DG-3001.D,Sample,1,4/4/2018 2:44 AM,11.473,0.1074,,11.937,0.1046,,11.110,0.1085,
,!,0927-02,2DH-3101.D,Sample,1,4/4/2018 3:04 AM,11.473,0.5506,,11.813,0.1090,,11.114,0.6648,
,!,1015-15,2DI-3201.D,Sample,1,4/4/2018 3:25 AM,11.470,0.1834,,11.814,0.1055,,11.108,0.2809,
,,0929-05,2EA-3301.D,Sample,1,4/4/2018 3:45 AM,11.445,0.1046,,11.995,0.1046,,12.645,0.1049,
,,0309-04,2EB-3401.D,Sample,1,4/4/2018 4:05 AM,11.519,0.1046,,11.946,0.1046,,12.573,0.1048,
,,blank,001-3501.D,Blank,1,4/4/2018 4:26 AM,11.452,0.1046,,12.009,0.1046,,12.722,0.1382,
,!,qc,OnlineEdited--036.D,QC,2,4/4/2018 4:46 AM,11.447,0.1596,155.0,11.960,0.1601,153.9,11.447,0.1546,154.6
,,blank,001-3702.D,Blank,1,4/4/2018 5:06 AM,11.496,0.1047,,11.934,0.1046,,12.659,0.1048,
,!,0220-03,2EC-3801.D,Sample,1,4/4/2018 5:27 AM,11.471,0.1072,,12.081,0.1049,,11.111,0.1076,
,!,0929-01,2ED-3901.D,Sample,1,4/4/2018 5:47 AM,11.478,0.3717,,11.818,0.1059,,10.723,0.9461,
,!,0926-11,2EE-4001.D,Sample,1,4/4/2018 6:07 AM,11.474,0.8422,,11.815,0.1108,,11.105,1.0052,
,,0929-06,2EF-4101.D,Sample,1,4/4/2018 6:28 AM,11.465,0.1046,,11.899,0.1046,,12.721,0.1050,
,,0313-01,2EG-4201.D,Sample,1,4/4/2018 6:48 AM,11.679,0.1049,,11.957,0.1047,,12.719,0.1047,
,!,0927-04,2EH-4301.D,Sample,1,4/4/2018 7:08 AM,11.476,0.3304,,11.817,0.1059,,11.116,0.5119,
,,0927-07,2EI-4401.D,Sample,1,4/4/2018 7:29 AM,11.445,0.1046,,11.923,0.1046,,12.596,0.1050,
,!,1015-14,2FA-4501.D,Sample,1,4/4/2018 7:49 AM,11.474,0.2274,,11.818,0.1053,,11.116,0.4218,
,!,1015-04,2FB-4601.D,Sample,1,4/4/2018 8:09 AM,11.478,0.2538,,11.956,0.1046,,11.117,0.6430,
,!,0304-03,2FC-4701.D,Sample,1,4/4/2018 8:30 AM,11.473,0.1172,,11.970,0.1046,,11.112,0.1284,
,,blank,001-4801.D,Blank,1,4/4/2018 8:50 AM,11.483,0.1046,,11.976,0.1046,,12.710,0.1050,
,!,qc,OnlineEdited--049.D,QC,2,4/4/2018 9:10 AM,11.450,0.2878,279.4,11.962,0.2882,277.1,11.450,0.2725,272.5
,,blank,001-5002.D,Blank,1,4/4/2018 9:31 AM,11.487,0.1046,,11.905,0.1046,,12.665,0.1049,
,!,0227-04,2FD-5101.D,Sample,1,4/4/2018 9:51 AM,11.475,0.1354,,11.944,0.1046,,11.114,0.2040,
,,1015-08,2FE-5201.D,Sample,1,4/4/2018 10:11 AM,11.445,0.1046,,11.949,0.1046,,12.711,0.1049,
,!,1016-06,2FF-5301.D,Sample,1,4/4/2018 10:32 AM,11.475,0.2036,,11.812,0.1049,,10.725,0.5835,
,,0927-05,2FG-5401.D,Sample,1,4/4/2018 10:52 AM,11.443,0.1046,,11.940,0.1046,,12.652,0.1049,
,!,0928-02,2FH-5501.D,Sample,1,4/4/2018 11:12 AM,11.492,1.1549,,11.815,0.1267,,10.715,1.4469,
