Sample,,,,,,,Tripalmitin Results,,,Triheptadecanoic Results,,,Tristerin Results,,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy
,,blank,001-3801.D,Blank,,7/7/2018 6:48 AM,11.775,0.1656,,12.192,0.1607,,13.175,0.1823,
,!,qc2,2AG-3901.D,QC,2,7/7/2018 7:08 AM,11.678,0.2218,83.7,12.202,0.2209,81.8,11.678,0.2475,81.1
,,blank,001-4002.D,Blank,,7/7/2018 7:29 AM,11.796,0.1655,,12.374,0.1609,,13.018,0.1825,
,!,0323-24,2EC-4101.D,Sample,,7/7/2018 7:49 AM,11.695,0.1776,,12.203,0.1608,,11.323,0.1978,
!,!,0411-22,2ED-4201.D,Sample,,7/7/2018 8:09 AM,11.700,0.1660,,,,,13.112,0.1824,
,!,0403-06,2EE-4301.D,Sample,,7/7/2018 8:30 AM,11.696,0.2225,,12.242,0.1608,,10.928,0.7116,
,,0512-B03,2EF-4401.D,MatrixBlank,,7/7/2018 8:50 AM,11.731,0.1655,,12.204,0.1608,,13.174,0.1823,
,!,0412-01,2EG-4501.D,Sample,,7/7/2018 9:11 AM,11.696,0.1885,,12.266,0.1612,,11.324,0.2930,
,!,0404-04,2EH-4601.D,Sample,,7/7/2018 9:31 AM,11.695,0.2095,,12.173,0.1609,,11.326,0.4670,
,!,0416-16,2EI-4701.D,Sample,,7/7/2018 9:51 AM,11.697,0.2301,,12.198,0.1608,,11.326,0.5492,
,!,0412-02,2FA-4801.D,Sample,,7/7/2018 10:12 AM,11.697,0.1996,,12.244,0.1608,,11.324,0.2801,
,!,0329-15,2FB-4901.D,Sample,,7/7/2018 10:32 AM,11.695,0.2291,,12.223,0.1607,,11.323,0.3578,
,!,0416-15,2FC-5001.D,Sample,,7/7/2018 10:52 AM,11.700,0.2090,,12.192,0.1608,,10.926,0.4371,
,,blank,001-5101.D,Blank,,7/7/2018 11:13 AM,11.664,0.1655,,12.220,0.1608,,13.175,0.1822,
,,qc2,2AH-5201.D,QC,2,7/7/2018 11:33 AM,11.677,0.2308,87.1,12.201,0.2349,87.0,12.201,0.2623,86.0
,,blank,001-5302.D,Blank,,7/7/2018 11:53 AM,11.704,0.1655,,12.233,0.1608,,13.152,0.1823,
,!,0416-14,2FD-5401.D,Sample,,7/7/2018 12:14 PM,11.698,0.2160,,12.222,0.1609,,10.927,0.4986,
,!,0329-16,2FE-5501.D,Sample,,7/7/2018 12:34 PM,11.694,0.1917,,12.046,0.1612,,11.323,0.2931,
,!,0329-14,2FF-5601.D,Sample,,7/7/2018 12:54 PM,11.695,0.2657,,12.232,0.1608,,11.325,0.4903,
,!,0411-13,2FG-5701.D,Sample,,7/7/2018 1:15 PM,11.695,0.2099,,12.258,0.1608,,11.324,0.3236,
,!,0329-11,2FH-5801.D,Sample,,7/7/2018 1:35 PM,11.694,0.2330,,12.236,0.1608,,11.323,0.3857,
,!,0416-13,2FI-5901.D,Sample,,7/7/2018 1:55 PM,11.691,0.2151,,12.213,0.1608,,10.919,0.5865,
,!,0329-13,1AA-6001.D,Sample,,7/7/2018 2:16 PM,11.690,0.2005,,12.219,0.1608,,11.318,0.3075,
,!,0416-11,1AB-6101.D,Sample,,7/7/2018 2:36 PM,11.688,0.2019,,12.283,0.1608,,11.319,0.3759,
,!,0404-03,1AC-6201.D,Sample,,7/7/2018 2:57 PM,11.705,0.2202,,12.222,0.1608,,10.935,0.5635,
,!,0416-10,1AD-6301.D,Sample,,7/7/2018 3:17 PM,11.710,0.2226,,12.193,0.1608,,11.339,0.4740,
,,blank,001-6401.D,Blank,,7/7/2018 3:37 PM,11.689,0.1655,,,,,13.034,0.1827,
,,qc2,2AI-6501.D,QC,2,7/7/2018 3:58 PM,11.694,0.2351,88.7,12.218,0.2381,88.2,12.218,0.2664,87.3
,,blank,001-6602.D,Blank,,7/7/2018 4:18 PM,11.758,0.1659,,12.255,0.1608,,13.103,0.1820,
,!,0404-02,1AE-6701.D,Sample,,7/7/2018 4:38 PM,11.709,0.2258,,12.255,0.1608,,10.939,0.5676,
,!,0329-10,1AF-6801.D,Sample,,7/7/2018 4:58 PM,11.708,0.2298,,12.315,0.1608,,11.338,0.3756,
,!,0411-11,1AG-6901.D,Sample,,7/7/2018 5:19 PM,11.713,0.1895,,12.191,0.1609,,11.341,0.2751,
,!,0411-09,1AH-7001.D,Sample,,7/7/2018 5:39 PM,11.694,0.2008,,12.247,0.1608,,11.323,0.3431,
,!,0416-12,1AI-7101.D,Sample,,7/7/2018 6:00 PM,11.693,0.2069,,12.216,0.1608,,10.921,0.4556,
,!,0403-07,1BA-7201.D,Sample,,7/7/2018 6:20 PM,11.692,0.2079,,12.240,0.1608,,10.921,0.5354,
,!,0411-12,1BB-7301.D,Sample,,7/7/2018 6:40 PM,11.695,0.1842,,12.188,0.1608,,11.322,0.2800,
,!,0416-09,1BC-7401.D,Sample,,7/7/2018 7:01 PM,11.693,0.2132,,12.182,0.1607,,10.921,0.6223,
,!,0323-14,1BD-7501.D,Sample,,7/7/2018 7:21 PM,11.693,0.1768,,12.203,0.1608,,11.693,0.1928,
,!,0323-13,1BE-7601.D,Sample,,7/7/2018 7:41 PM,11.692,0.1754,,12.168,0.1608,,11.321,0.1935,
,,blank,001-7701.D,Blank,,7/7/2018 8:02 PM,11.688,0.1655,,12.153,0.1607,,13.121,0.1828,
,,qc2,2BF-7801.D,QC,2,7/7/2018 8:22 PM,11.673,0.2341,88.3,12.198,0.2377,88.0,12.667,0.2661,87.2
,,blank,001-7902.D,Blank,,7/7/2018 8:42 PM,11.671,0.1655,,12.115,0.1608,,13.082,0.1819,
,!,0407-11,1BF-8001.D,Sample,,7/7/2018 9:03 PM,11.692,0.1751,,12.203,0.1608,,11.318,0.1940,
,!,0407-06,1BG-8101.D,Sample,,7/7/2018 9:23 PM,11.690,0.1698,,12.163,0.1608,,11.318,0.1893,
,!,0407-05,1BH-8201.D,Sample,,7/7/2018 9:43 PM,11.693,0.1690,,12.230,0.1608,,11.320,0.1865,
,!,0407-04,1BI-8301.D,Sample,,7/7/2018 10:04 PM,11.690,0.1725,,12.345,0.1613,,11.317,0.1926,
,!,0322-09,1CA-8401.D,Sample,,7/7/2018 10:24 PM,11.691,0.1728,,12.278,0.1609,,11.691,0.1883,
,,0407-14,1CB-8501.D,Sample,,7/7/2018 10:44 PM,11.695,0.1656,,12.221,0.1609,,13.127,0.1828,
