Sample,,,,,,,Tripalmitin Results,,,Triheptadecanoic Results,,,Tristerin Results,,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy
,,blank,001-0101.D,Blank,1,4/10/2018 1:41 PM,11.693,0.1876,,12.190,0.1974,,12.803,0.2418,
,,blank,001-0202.D,Blank,1,4/10/2018 2:01 PM,11.457,0.1854,,12.098,0.1974,,12.804,0.2324,
,,blank,001-0303.D,Blank,1,4/10/2018 2:21 PM,11.630,0.1854,,12.104,0.1972,,12.752,0.2319,
,,blank,001-0404.D,Blank,1,4/10/2018 2:41 PM,11.566,0.1854,,12.210,0.1973,,12.789,0.2318,
,!,tag_mix,2AA-0501.D,Cal,2,4/10/2018 3:02 PM,11.603,0.2198,122.1,12.117,0.2415,120.8,11.602,0.2781,120.9
,!,tag_mix,2AB-0601.D,Cal,3,4/10/2018 3:22 PM,11.607,0.2374,87.9,12.120,0.2625,87.5,11.607,0.3021,87.6
,!,tag_mix,2AC-0701.D,Cal,4,4/10/2018 3:42 PM,11.605,0.3332,74.0,12.119,0.3802,76.0,11.605,0.4300,74.8
,!,tag_mix,2AD-0801.D,Cal,5,4/10/2018 4:03 PM,11.607,0.6575,73.1,12.121,0.7562,75.6,11.607,0.8613,74.9
,!,tag_mix,2AE-0901.D,Cal,6,4/10/2018 4:23 PM,11.608,1.1534,85.4,12.119,1.2923,86.2,11.608,1.4850,86.1
,,blank,001-1105.D,Blank,1,4/10/2018 5:04 PM,11.670,0.1854,,12.114,0.1973,,12.818,0.2320,
,!,0327-B01,2CA-1201.D,Sample,1,4/10/2018 5:24 PM,11.680,0.1854,,12.067,0.1973,,12.818,0.2321,
!,!,0327-B03,2CB-1301.D,Sample,1,4/10/2018 5:44 PM,,,,12.222,0.1976,,12.815,0.2325,
,!,1016-03,2CC-1401.D,Sample,1,4/10/2018 6:05 PM,11.632,0.2587,,12.156,0.1973,,11.271,0.6178,
,!,1016-04,2CD-1501.D,Sample,1,4/10/2018 6:25 PM,11.634,0.3221,,12.141,0.1973,,11.272,0.9578,
,!,1016-12,2CE-1601.D,Sample,1,4/10/2018 6:45 PM,11.636,0.3175,,11.982,0.1981,,11.271,0.8257,
,!,0301-05,2CF-1701.D,Sample,1,4/10/2018 7:06 PM,11.633,0.4535,,11.975,0.1989,,11.272,1.5659,
,!,0313-04,2CG-1801.D,Sample,1,4/10/2018 7:26 PM,11.635,0.2976,,12.130,0.1973,,10.879,1.1800,
,!,1017-03,2CH-1901.D,Sample,1,4/10/2018 7:46 PM,11.635,0.3928,,11.978,0.1983,,11.273,1.3959,
,!,1017-05,2CI-2001.D,Sample,1,4/10/2018 8:07 PM,11.637,1.1846,,11.978,0.2048,,10.868,3.7350,
,!,0220-05,2DA-2101.D,Sample,1,4/10/2018 8:27 PM,11.638,0.1877,,12.135,0.1973,,11.270,0.2362,
,,blank,001-2201.D,Blank,1,4/10/2018 8:47 PM,11.692,0.1856,,12.144,0.1972,,12.830,0.2319,
,!,qc,2AG-2301.D,QC,4,4/10/2018 9:08 PM,11.616,0.5304,117.9,12.130,0.6023,120.5,11.616,0.6909,120.2
