Sample,,,,,,,Tripalmitin Results,,,Triheptadecanoic Results,,,Tristerin Results,,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy
,,blank,001-0101.D,Blank,1,7/22/2018 10:50 AM,11.544,0.1679,,12.495,0.1438,,13.065,0.1791,
,,blank,001-0202.D,Blank,1,7/22/2018 11:10 AM,11.649,0.1679,,12.505,0.1439,,13.054,0.1782,
,,blank,001-0303.D,Blank,1,7/22/2018 11:30 AM,11.452,0.1679,,12.511,0.1439,,13.075,0.1787,
,!,qc3,2BG-0401.D,QC,3,7/22/2018 11:51 AM,11.561,0.4221,79.6,12.537,0.4484,83.0,12.537,0.4943,81.0
,,blank,001-0504.D,Blank,1,7/22/2018 12:11 PM,11.539,0.1679,,12.541,0.1439,,13.068,0.1778,
,!,0823-19,1CF-0601.D,Sample,1,7/22/2018 12:31 PM,11.585,0.3520,,12.515,0.1438,,11.221,0.6488,
,!,0824-08,1CG-0701.D,Sample,1,7/22/2018 12:52 PM,11.584,0.2517,,12.555,0.1439,,11.220,0.4765,
,!,0824-05,1CH-0801.D,Sample,1,7/22/2018 1:12 PM,11.581,0.3311,,12.548,0.1439,,11.218,0.3976,
,!,0905-04,1CI-0901.D,Sample,1,7/22/2018 1:32 PM,11.583,0.2805,,12.657,0.1441,,11.219,0.6482,
,!,0903-02,1DA-1001.D,Sample,1,7/22/2018 1:53 PM,11.580,0.2233,,12.455,0.1439,,11.215,0.3227,
,!,0903-03,1DB-1101.D,Sample,1,7/22/2018 2:13 PM,11.580,0.2218,,12.609,0.1441,,11.217,0.2874,
,!,0905-03,1DC-1201.D,Sample,1,7/22/2018 2:33 PM,11.583,0.2212,,12.530,0.1439,,11.220,0.3639,
,!,0903-08,1DD-1301.D,Sample,1,7/22/2018 2:54 PM,11.584,0.2492,,12.573,0.1439,,11.221,0.3961,
,!,0823-16,1DE-1401.D,Sample,1,7/22/2018 3:14 PM,11.583,0.3663,,12.568,0.1439,,11.220,0.7847,
,!,0823-18,1DF-1501.D,Sample,1,7/22/2018 3:34 PM,11.584,0.3272,,12.517,0.1438,,11.221,0.6472,
,,blank,001-1601.D,Blank,1,7/22/2018 3:55 PM,11.631,0.1680,,12.561,0.1439,,13.040,0.1793,
,,qc3,2BH-1701.D,QC,3,7/22/2018 4:15 PM,11.563,0.4711,88.9,12.538,0.5009,92.8,12.538,0.5513,90.4
,,blank,001-1802.D,Blank,1,7/22/2018 4:35 PM,11.640,0.1679,,12.560,0.1439,,13.062,0.1781,
,!,0903-06,1DG-1901.D,Sample,1,7/22/2018 4:56 PM,11.543,0.2076,,12.542,0.1440,,11.183,0.2660,
!,!,0905-08,1DH-2001.D,Sample,1,7/22/2018 5:16 PM,11.536,0.2301,,,,,11.174,0.4962,
,!,0903-01,1DI-2101.D,Sample,1,7/22/2018 5:36 PM,11.529,0.2176,,12.422,0.1439,,11.164,0.2736,
,!,0905-02,1EA-2201.D,Sample,1,7/22/2018 5:57 PM,11.525,0.2098,,12.530,0.1439,,11.163,0.3316,
,!,0903-04,1EB-2301.D,Sample,1,7/22/2018 6:17 PM,11.524,0.2172,,12.496,0.1439,,11.162,0.3326,
,!,0823-15,1EC-2401.D,Sample,1,7/22/2018 6:37 PM,11.526,0.3384,,12.505,0.1439,,11.163,0.7379,
,!,0905-01,1ED-2501.D,Sample,1,7/22/2018 6:58 PM,11.523,0.2509,,12.554,0.1440,,11.161,0.6148,
,!,0928-08,1EE-2601.D,Sample,1,7/22/2018 7:18 PM,11.523,0.3333,,12.474,0.1440,,11.161,0.8176,
,,0208-B03,1EF-2701.D,MatrixBlank,1,7/22/2018 7:38 PM,11.411,0.1679,,12.507,0.1439,,13.065,0.1784,
,,blank,001-2801.D,Blank,1,7/22/2018 7:59 PM,11.637,0.1680,,12.502,0.1439,,13.075,0.1794,
,!,tag_mix,2BA-2901.D,Cal,1,7/22/2018 8:19 PM,11.547,0.1679,158.4,12.522,0.1443,133.6,13.072,0.1792,146.9
,,tag_mix,2BB-3001.D,Cal,2,7/22/2018 8:39 PM,11.548,0.2449,92.4,12.523,0.2436,90.2,12.523,0.2788,91.4
,,tag_mix,2BC-3101.D,Cal,3,7/22/2018 9:00 PM,11.552,0.4535,85.6,12.529,0.4990,92.4,12.529,0.5420,88.9
,,tag_mix,2BD-3201.D,Cal,4,7/22/2018 9:20 PM,11.556,0.7852,98.8,12.533,0.8406,103.8,12.533,0.9238,101.0
,!,tag_mix,2BE-3301.D,Cal,5,7/22/2018 9:41 PM,11.557,1.1044,104.2,12.535,1.0805,100.0,11.557,1.2482,102.3
,,blank,001-3402.D,Blank,1,7/22/2018 10:01 PM,11.532,0.1679,,12.466,0.1441,,13.003,0.1791,
,,blank,001-3503.D,Blank,1,7/22/2018 10:21 PM,11.566,0.1679,,12.482,0.1439,,13.015,0.1783,
,,blank,001-3604.D,Blank,1,7/22/2018 10:41 PM,11.566,0.1679,,12.583,0.1439,,13.075,0.1792,
,,blank,001-3701.D,Blank,1,7/22/2018 11:02 PM,,,,,,,,,
