Sample,,,,,,,Tripalmitin Results,,,Triheptadecanoic Results,,,Tristerin Results,,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy
,,blank,001-0101.D,Blank,,6/6/2018 4:04 PM,11.811,0.1654,,12.254,0.1538,,12.978,0.1817,
,,blank,001-0202.D,Blank,,6/6/2018 4:25 PM,11.713,0.1654,,12.302,0.1538,,13.001,0.1802,
,,blank,001-0303.D,Blank,,6/6/2018 4:45 PM,11.685,0.1654,,12.205,0.1539,,13.080,0.1802,
,,blank,001-0404.D,Blank,,6/6/2018 5:05 PM,11.778,0.1654,,12.353,0.1538,,13.060,0.1800,
,!,tag_mix 0.1,2AA-0501.D,Cal,1,6/6/2018 5:25 PM,11.772,0.1661,156.7,12.295,0.1544,142.9,12.769,0.1807,148.1
,,tag_mix 0.25,2AB-0601.D,Cal,2,6/6/2018 5:46 PM,11.775,0.2593,97.8,12.303,0.2644,97.9,12.773,0.2954,96.9
,,tag_mix 0.5,2AC-0701.D,Cal,3,6/6/2018 6:06 PM,11.777,0.4637,87.5,12.305,0.4948,91.6,12.776,0.5513,90.4
,,tag_mix 0.75,2AD-0801.D,Cal,4,6/6/2018 6:27 PM,11.778,0.7420,93.3,12.307,0.7843,96.8,12.779,0.8869,96.9
,,tag_mix 1.0,2AE-0901.D,Cal,5,6/6/2018 6:47 PM,11.783,1.1407,107.6,12.310,1.1426,105.8,12.782,1.2997,106.5
,,blank,001-1005.D,Blank,,6/6/2018 7:07 PM,11.810,0.1654,,12.155,0.1538,,13.043,0.1806,
,!,0419-04,2CA-1101.D,Sample,,6/6/2018 7:28 PM,11.803,0.1964,,12.360,0.1538,,11.428,0.3148,
,!,0424-06,2CB-1201.D,Sample,,6/6/2018 7:48 PM,11.803,0.2125,,12.153,0.1542,,11.028,0.4759,
,!,0424-05,2CC-1301.D,Sample,,6/6/2018 8:08 PM,11.804,0.2268,,12.301,0.1538,,11.028,0.5796,
,!,0424-08,2CD-1401.D,Sample,,6/6/2018 8:29 PM,11.811,0.2242,,12.163,0.1544,,11.034,0.5304,
,!,0424-02,2CE-1501.D,Sample,,6/6/2018 8:49 PM,11.808,0.2060,,12.280,0.1538,,11.033,0.5537,
,!,0424-07,2CF-1601.D,Sample,,6/6/2018 9:09 PM,11.805,0.2210,,12.163,0.1543,,11.030,0.5036,
,!,0424-01,2CG-1701.D,Sample,,6/6/2018 9:30 PM,11.806,0.2290,,12.163,0.1542,,11.029,0.5675,
,!,0424-03,2CH-1801.D,Sample,,6/6/2018 9:50 PM,11.807,0.2552,,12.362,0.1538,,11.032,0.6217,
,!,0412-04,2CI-1901.D,Sample,,6/6/2018 10:10 PM,11.806,0.1852,,12.173,0.1541,,11.436,0.2637,
,,0424-04,2DA-2001.D,Sample,,6/6/2018 10:31 PM,11.753,0.1655,,12.317,0.1538,,13.058,0.1794,
,,blank,001-2101.D,Blank,,6/6/2018 10:51 PM,11.799,0.1654,,12.294,0.1537,,13.018,0.1803,
,,tag_mix 0.5,2AF-2201.D,QC,3,6/6/2018 11:11 PM,11.787,0.4680,88.3,12.315,0.4893,90.6,12.785,0.5450,89.3
,,blank,001-2302.D,Blank,,6/6/2018 11:32 PM,11.740,0.1654,,12.323,0.1538,,13.071,0.1802,
,!,0412-06,2DB-2401.D,Sample,,6/6/2018 11:52 PM,11.807,0.1995,,12.160,0.1543,,11.435,0.3092,
,!,0412-05,2DC-2501.D,Sample,,6/7/2018 12:12 AM,11.803,0.2411,,12.146,0.1543,,11.432,0.3769,
,!,0404-08,2DD-2601.D,Sample,,6/7/2018 12:33 AM,11.808,0.1946,,12.345,0.1541,,11.437,0.3246,
,!,0412-03,2DE-2701.D,Sample,,6/7/2018 12:53 AM,11.807,0.1971,,12.444,0.1538,,11.434,0.2940,
,!,0329-18,2DF-2801.D,Sample,,6/7/2018 1:14 AM,11.808,0.2235,,12.165,0.1542,,11.435,0.3281,
,!,0404-10,2DG-2901.D,Sample,,6/7/2018 1:34 AM,11.808,0.2153,,12.321,0.1538,,11.034,0.5097,
,!,0404-09,2DH-3001.D,Sample,,6/7/2018 1:54 AM,11.806,0.2069,,12.327,0.1538,,11.033,0.5575,
,!,0329-19,2DI-3101.D,Sample,,6/7/2018 2:15 AM,11.805,0.2182,,12.163,0.1542,,11.433,0.3751,
,!,0329-20,2EA-3201.D,Sample,,6/7/2018 2:35 AM,11.806,0.2233,,12.162,0.1541,,11.032,0.5077,
,!,0404-07,2EB-3301.D,Sample,,6/7/2018 2:55 AM,11.806,0.2488,,12.291,0.1538,,11.437,0.6026,
,,blank,001-3401.D,Blank,,6/7/2018 3:16 AM,11.769,0.1654,,12.340,0.1538,,13.033,0.1804,
,,tag_mix 0.5,2AG-3501.D,QC,3,6/7/2018 3:36 AM,11.788,0.4556,86.0,12.317,0.4770,88.3,12.788,0.5388,88.3
,,blank,001-3602.D,Blank,,6/7/2018 3:56 AM,11.807,0.1654,,12.313,0.1537,,13.013,0.1800,
,!,0329-17,2EC-3701.D,Sample,,6/7/2018 4:17 AM,11.810,0.1935,,12.322,0.1538,,11.437,0.2997,
,!,0411-14,2ED-3801.D,Sample,,6/7/2018 4:37 AM,11.810,0.2494,,12.163,0.1549,,11.437,0.4883,
,!,0404-06,2EE-3901.D,Sample,,6/7/2018 4:57 AM,11.810,0.2293,,12.333,0.1538,,11.440,0.5103,
,!,0404-05,2EF-4001.D,Sample,,6/7/2018 5:18 AM,11.808,0.2487,,12.345,0.1538,,11.035,0.9226,
,!,0404-11,2EG-4101.D,Sample,,6/7/2018 5:38 AM,11.805,0.2368,,12.442,0.1539,,11.033,0.7433,
,!,0330-03,2EH-4201.D,Sample,,6/7/2018 5:58 AM,11.809,0.2494,,12.353,0.1538,,11.436,0.4357,
,!,0330-02,2EI-4301.D,Sample,,6/7/2018 6:19 AM,11.809,0.1976,,12.167,0.1541,,11.438,0.3072,
,!,0404-12,2FA-4401.D,Sample,,6/7/2018 6:39 AM,11.807,0.2630,,12.159,0.1543,,11.030,1.0002,
