Sample,,,,,,,Tripalmitin Results,,,Triheptadecanoic Results,,,Tristerin Results,,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy
!,,blank,001-0101.D,Blank,1,4/15/2018 12:59 PM,,,,12.327,0.1483,,12.798,0.1261,
,,blank,001-0202.D,Blank,1,4/15/2018 1:19 PM,11.647,0.1169,,12.174,0.1480,,12.830,0.1177,
!,,blank,001-0303.D,Blank,1,4/15/2018 1:40 PM,11.606,0.1170,,,,,12.819,0.1172,
!,,blank,001-0404.D,Blank,1,4/15/2018 2:00 PM,11.510,0.1168,,,,,,,
,,blank,001-1105.D,Blank,1,4/15/2018 4:22 PM,11.748,0.1168,,12.058,0.1480,,12.793,0.1184,
,,blank,001-2201.D,Blank,1,4/15/2018 8:06 PM,11.649,0.1170,,12.152,0.1480,,12.808,0.1177,
,,blank,001-2402.D,Blank,1,4/15/2018 8:47 PM,11.621,0.1168,,12.164,0.1480,,12.817,0.1181,
,,blank,001-3501.D,Blank,1,4/16/2018 12:30 AM,11.621,0.1168,,12.321,0.1483,,12.825,0.1181,
,,blank,001-3702.D,Blank,1,4/16/2018 1:11 AM,11.439,0.1168,,12.341,0.1483,,12.727,0.1184,
,,blank,001-4801.D,Blank,1,4/16/2018 4:55 AM,11.645,0.1168,,12.085,0.1480,,12.829,0.1173,
,,blank,001-5002.D,Blank,1,4/16/2018 5:35 AM,11.725,0.1170,,12.150,0.1481,,12.814,0.1178,
,,blank,001-6101.D,Blank,1,4/16/2018 9:19 AM,11.611,0.1168,,12.036,0.1480,,12.765,0.1176,
,,blank,001-6302.D,Blank,1,4/16/2018 9:59 AM,11.816,0.1172,,12.108,0.1480,,12.823,0.1174,
,,blank,001-7401.D,Blank,1,4/16/2018 1:43 PM,11.624,0.1168,,11.997,0.1480,,12.737,0.1176,
,,blank,001-8102.D,Blank,1,4/16/2018 4:06 PM,11.840,0.1176,,12.203,0.1481,,12.820,0.1178,
,,blank,001-8203.D,Blank,1,4/16/2018 4:26 PM,11.633,0.1168,,12.070,0.1480,,12.783,0.1176,
!,,blank,001-8304.D,Blank,1,4/16/2018 4:46 PM,11.678,0.1168,,,,,12.776,0.1175,
,!,tag_mix,2AA-0501.D,Cal,2,4/15/2018 2:20 PM,11.620,0.1413,78.5,12.136,0.1763,88.1,12.136,0.1510,65.7
,!,tag_mix,2AB-0601.D,Cal,3,4/15/2018 2:41 PM,11.623,0.1646,61.0,12.137,0.2042,68.1,12.137,0.1829,53.0
,!,tag_mix,2AC-0701.D,Cal,4,4/15/2018 3:01 PM,11.626,0.2428,54.0,12.139,0.2926,58.5,11.626,0.2870,49.9
,!,tag_mix,2AD-0801.D,Cal,5,4/15/2018 3:21 PM,11.620,0.4803,53.4,12.135,0.5319,53.2,11.620,0.5901,51.3
,!,tag_mix,2AE-0901.D,Cal,6,4/15/2018 3:42 PM,11.620,1.0084,74.7,12.132,1.0835,72.2,11.620,1.2844,74.5
,!,tag_mix,2AF-1001.D,Cal,7,4/15/2018 4:02 PM,11.623,1.4809,82.3,12.137,1.6416,82.1,11.623,1.9327,84.0
,!,tag_mix,2BA-7501.D,Cal,2,4/16/2018 2:04 PM,11.637,0.1391,77.3,12.153,0.1731,86.5,11.637,0.1474,64.1
,!,tag_mix,2BB-7601.D,Cal,3,4/16/2018 2:24 PM,11.640,0.1168,43.3,12.081,0.1480,49.3,12.814,0.1178,34.2
,!,tag_mix,2BC-7701.D,Cal,4,4/16/2018 2:44 PM,11.643,0.9522,211.6,12.155,1.0036,200.7,11.643,1.2693,220.7
,!,tag_mix,2BD-7801.D,Cal,5,4/16/2018 3:05 PM,11.647,1.7753,197.3,12.157,1.9353,193.5,11.640,2.2697,197.4
,!,tag_mix,2BE-7901.D,Cal,6,4/16/2018 3:25 PM,11.639,1.0613,78.6,12.153,1.1187,74.6,11.639,1.3077,75.8
,!,tag_mix,2BF-8001.D,Cal,7,4/16/2018 3:45 PM,11.668,2.3370,129.8,12.178,2.6913,134.6,12.147,2.9851,129.8
,,0405-B01,2DD-2701.D,MatrixBlank,1,4/15/2018 9:48 PM,11.610,0.1168,,12.343,0.1482,,12.724,0.1181,
,,0405-B02,2DE-2801.D,MatrixBlank,1,4/15/2018 10:08 PM,11.808,0.1169,,12.090,0.1480,,12.784,0.1174,
!,!,0405-B03,2DF-2901.D,MatrixBlank,1,4/15/2018 10:28 PM,,,,12.084,0.1480,,12.821,0.1174,
,,0403-B01,2FC-4701.D,MatrixBlank,1,4/16/2018 4:34 AM,11.682,0.1169,,12.121,0.1480,,12.815,0.1180,
,,0403-B03,2FF-5301.D,MatrixBlank,1,4/16/2018 6:36 AM,11.647,0.1168,,12.048,0.1480,,12.830,0.1184,
,,0403-B02,2FG-5401.D,MatrixBlank,1,4/16/2018 6:57 AM,11.503,0.1168,,12.194,0.1481,,12.829,0.1178,
