Sample,,,,,,,Tripalmitin Results,,,Triheptadecanoic Results,,,Tristerin Results,,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy
,,blank,001-0101.D,Blank,,7/3/2018 5:33 PM,11.802,0.1755,,12.084,0.1700,,13.080,0.2045,
,,blank,001-0202.D,Blank,,7/3/2018 5:53 PM,11.626,0.1749,,12.018,0.1700,,13.015,0.1924,
,,blank,001-0303.D,Blank,,7/3/2018 6:13 PM,11.570,0.1749,,,,,13.080,0.1945,
,,blank,001-0404.D,Blank,,7/3/2018 6:34 PM,11.633,0.1749,,12.171,0.1700,,12.990,0.1928,
,,blank,001-0505.D,Blank,,7/3/2018 6:54 PM,11.594,0.1749,,12.103,0.1700,,13.034,0.1923,
,,blank,001-0606.D,Blank,,7/3/2018 7:14 PM,11.597,0.1749,,12.175,0.1700,,13.071,0.1920,
,,blank,001-0707.D,Blank,,7/3/2018 7:34 PM,11.588,0.1749,,12.125,0.1700,,13.077,0.1906,
,,blank,001-0808.D,Blank,,7/3/2018 7:55 PM,11.466,0.1749,,12.145,0.1700,,13.076,0.1928,
,!,tag_mix,2AA-0901.D,Cal,1,7/3/2018 8:15 PM,11.623,0.1751,165.2,12.099,0.1703,157.7,13.007,0.1914,156.9
,,tag_mix,2AB-1001.D,Cal,2,7/3/2018 8:35 PM,11.592,0.2354,88.8,12.107,0.2384,88.3,12.568,0.2677,87.8
,!,tag_mix,2AC-1101.D,Cal,3,7/3/2018 8:56 PM,11.593,0.4209,79.4,12.110,0.4367,80.9,12.570,0.4923,80.7
,,tag_mix,2AD-1201.D,Cal,4,7/3/2018 9:16 PM,11.595,0.6691,84.2,12.110,0.7015,86.6,12.571,0.7893,86.3
,!,tag_mix,2AE-1301.D,Cal,5,7/3/2018 9:36 PM,11.598,1.0734,101.3,12.113,1.0722,99.3,11.598,1.2045,98.7
,,blank,001-1409.D,Blank,,7/3/2018 9:57 PM,11.554,0.1749,,12.070,0.1700,,13.038,0.1902,
,!,0610-01,2CA-1501.D,Sample,,7/3/2018 10:17 PM,11.615,0.1931,,12.100,0.1700,,10.856,0.3079,
,!,0610-02,2CB-1601.D,Sample,,7/3/2018 10:37 PM,11.615,0.1929,,12.179,0.1701,,10.856,0.3471,
,!,0610-03,2CC-1701.D,Sample,,7/3/2018 10:58 PM,11.616,0.2127,,12.285,0.1714,,11.250,0.3907,
,!,0610-04,2CD-1801.D,Sample,,7/3/2018 11:18 PM,11.614,0.1974,,11.970,0.1703,,11.251,0.3302,
,!,0610-05,2CE-1901.D,Sample,,7/3/2018 11:39 PM,11.614,0.2065,,12.125,0.1700,,11.250,0.3843,
,!,0610-06,2CF-2001.D,Sample,,7/3/2018 11:59 PM,11.617,0.1915,,12.091,0.1700,,10.859,0.3972,
,!,0610-07,2CG-2101.D,Sample,,7/4/2018 12:19 AM,11.614,0.2028,,12.233,0.1700,,10.857,0.3804,
,!,0610-08,2CH-2201.D,Sample,,7/4/2018 12:40 AM,11.615,0.1982,,12.131,0.1702,,10.858,0.3757,
,!,0610-09,2CI-2301.D,Sample,,7/4/2018 1:00 AM,11.618,0.1920,,11.961,0.1701,,10.859,0.3521,
,!,0610-10,2DA-2401.D,Sample,,7/4/2018 1:20 AM,11.618,0.1942,,12.071,0.1700,,10.860,0.4334,
,,blank,001-2501.D,Blank,,7/4/2018 1:41 AM,11.833,0.1752,,12.017,0.1700,,12.940,0.1927,
,,qc4,2AF-2601.D,QC,4,7/4/2018 2:01 AM,11.598,0.7233,91.0,12.113,0.7440,91.9,12.575,0.8435,92.2
,,blank,001-2702.D,Blank,,7/4/2018 2:21 AM,11.602,0.1749,,12.336,0.1715,,13.057,0.1914,
,!,0611-01,2DB-2801.D,Sample,,7/4/2018 2:42 AM,11.618,0.2000,,12.133,0.1700,,10.859,0.3922,
,!,0611-02,2DC-2901.D,Sample,,7/4/2018 3:02 AM,11.616,0.2036,,12.126,0.1700,,10.858,0.4929,
,!,0611-03,2DD-3001.D,Sample,,7/4/2018 3:22 AM,11.616,0.2066,,11.975,0.1701,,10.858,0.4745,
,!,0611-04,2DE-3101.D,Sample,,7/4/2018 3:43 AM,11.614,0.2141,,12.089,0.1700,,11.251,0.4248,
,,0611-05,2DF-3201.D,Sample,,7/4/2018 4:03 AM,11.584,0.1749,,12.350,0.1712,,13.022,0.1914,
